"102","2018-07-16 14:08:00","उत्तराखंड में बादल फटने से दुकानों और घरों को नुकसान, हिमकोटी में भूस्खलन से वैष्णो देवी यात्रा रोकी गई","भारत","india","hi"
"104","2018-07-15 08:45:00","फुटबॉल विश्व कप में बेल्जियम का सर्वश्रेष्ठ प्रदर्शन, पहली बार तीसरे स्थान पर रहा; इंग्लैंड को 2-0 से हराया","खेल","sports","hi"
"106","2018-07-15 19:42:00","विद्या बालन के बाद एनटीआर की बायोपिक में रविकिशन की एंट्री, लुक के साथ ट्विटर पर जाहिर की खुशी","मनोरंजन","entertainment","hi"
"109","2018-07-16 13:58:00","ITR भरते समय ध्यान दें: आप नौकरीपेशा हैं तो इस बार देनी होगी भत्तों की जानकारी","भारत","india","hi"
"111","2018-07-14 21:41:00","पिता के साथ खेती करती थीं हिमा, 18 महीने पहले किसी प्रतियोगिता में पहली बार उतरीं, अब वर्ल्ड अंडर-20 एथलेटिक्स में जीता गोल्ड","खेल","sports","hi"
"113","2018-07-15 15:21:00","कैंसर के कारण कम हुआ इरफान खान का वजन, लंदन से सामने आई पहली फोटो","मनोरंजन","entertainment","hi"
"117","2018-07-14 21:31:00","विम्बलडन: जोकोविक ने सेमीफाइनल में नडाल को हराया, खिताबी मुकाबले में दक्षिण अफ्रीका के एंडरसन से भिड़ंत","खेल","sports","hi"
"119","2018-07-15 14:17:00","महेश भट्ट को हर फिल्म की कमाई से हिस्सा देते हैं अनुपम खेर, 34 सालों से चुका रहे कर्ज","मनोरंजन","entertainment","hi"
"125","2018-07-14 17:17:00","बैडमिंटन: थाईलैंड ओपन के फाइनल में पहुंची सिंधु, इंडोनेशिया की तुनजुंग को दी मात","खेल","sports","hi"
"126","2018-07-15 13:03:00","तैयार हो रहा देसी रैम्बो, ऋतिक रोशन से बेहतर बॉडी बनाने टाइगर श्राॅफ उठा रहे 190 किलो वजन","मनोरंजन","entertainment","hi"
"128","2018-07-14 15:09:00","दूसरा वनडेः इंग्लैंड ने भारत के खिलाफ टॉस जीतकर बल्लेबाजी का फैसला किया, दोनों टीमों में कोई बदलाव नहीं","खेल","sports","hi"
"129","2018-07-14 19:43:00","पायल रोहतगी और पहलवान संग्राम सिंह नवंबर में करेंगे शादी, 4 साल पहले की थी सगाई","मनोरंजन","entertainment","hi"
"131","2018-07-14 14:40:00","फीफा: तीसरे स्थान के लिए बेल्जियम-इंग्लैंड में मुकाबला आज, इस विश्व कप में दूसरी बार दोनों आमने-सामने","खेल","sports","hi"
"132","2018-07-14 19:09:00","स्कारलेट जोहांसन ने विवादों के बाद  फिल्म 'रब एंड टग' से बहार होने का फैसला किया","मनोरंजन","entertainment","hi"
"134","2018-07-14 18:49:00","ड्राइवर की 12 साल की भांजी हुई किडनैप,परेशान जॉन अब्राहम बोले-'मैं चिंता में सो नहीं पा रहा हूं'","मनोरंजन","entertainment","hi"
"136","2018-07-14 17:44:00","ओपनिंग डे पर दिलजीत की सूरमा ने कमाए Rs 3.25  करोड़","मनोरंजन","entertainment","hi"
"138","2018-07-14 17:21:00","100 करोड़ में बनी संजू ने 15 दिन में 500 करोड़ रुपए कमाए, इस साल दुनियाभर में सबसे ज्यादा कलेक्शन करने वाली फिल्म","मनोरंजन","entertainment","hi"
"140","2018-07-14 16:37:00","फन्ने खां का नया गाना हल्का सुरूर रिलीज,11 साल छोटे राजकुमार राव के साथ दिखी ऐश्वर्या राय की रोमांटिक केमिस्ट्री","मनोरंजन","entertainment","hi"
"143","2018-07-14 13:24:00","संजय दत्त की बेटी त्रिशाला ने कहा - ‘मुझे नहीं मालूम पैरेंट्स के बिना रहना  कैसा लगता है’","मनोरंजन","entertainment","hi"
"145","2018-07-14 11:56:00","सलमान खान ने भरा था 'डॉ. हाथी' का हॉस्पिटल बिल, वजन घटाने के लिए हुई थी सर्जरी","मनोरंजन","entertainment","hi"
"147","2018-07-14 10:57:00","10 साल बाद ‘तानाजी’ में साथ नजर आ सकते हैं अजय-काजोल","मनोरंजन","entertainment","hi"
"149","2018-07-13 19:44:00","Movie review: खत्म हो चुकी उम्मीदों के जिंदा होने की कहानी है सूरमा, आखिरी मिनट तक कायम रहता है रोमांच","मनोरंजन","entertainment","hi"
"151","2018-07-13 19:24:00","300 किमी पैदल चलने के बाद सैंटियागो में मिलिंद सोमन ने अंकिता कंवर से रचाई दोबारा शादी, लिखा यही थी ड्रीम वेडिंग","मनोरंजन","entertainment","hi"
"153","2018-07-13 19:20:00","52 साल में पहली बार दिलीप कुमार के बिना नजर आईं सायरा, ट्वीट कर कहा- मेरे कोहिनूर के लिए दुआ करें","मनोरंजन","entertainment","hi"
"156","2018-07-13 18:53:00","'हाथी भाई के घर हमें देखकर हंस रहे थे लोग', भड़कीं 'तारक मेहता...' की बबिताजी ने बताई कवि कुमार आजाद अंतिम दर्शन के दौरान गुस्सा होने की असली वजह","मनोरंजन","entertainment","hi"
"159","2018-07-13 18:02:00","400 से ज्यादा फिल्मों में विग डिजाइन करने वाले भाइयों ने रणबीर को बनाया संजू, बोले-'बहुत चैलेंजिंग था'","मनोरंजन","entertainment","hi"
"176","2018-07-17 12:26:38","INDvENG: टीम इंडिया के प्लेइंग XI में दिख सकता है बड़ा बदलाव, जानें मैच से जुड़े सभी फैक्ट्स और स्टैट्स","क्रिकेट","cricket","hi"
"183","2018-07-16 11:08:10","ENGvIND: 2nd ODI में एमएस धौनी के साथ हुई थी ये शर्मनाक हरकत, जानें क्या था पूरा मामला","क्रिकेट","cricket","hi"
